User ID,Battery Capacity (kWh),Charging Station ID,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Charger Type,User Type
User_1,108.4630074,Station_391,1/1/2024 0:00,1/1/2024 0:39,60.71234573,0.591363425,36.38918057,13.08771679,Evening,Tuesday,29.37157598,86.11996244,293.6021106,27.94795306,DC Fast Charger,Commuter
User_2,100,Station_428,1/1/2024 1:00,1/1/2024 3:01,12.3392752,3.133652053,30.67773494,21.12844793,Morning,Monday,10.11577764,84.66434363,112.1128037,14.31102566,Level 1,Casual Driver
User_3,75,Station_181,1/1/2024 2:00,1/1/2024 4:48,19.1288757,2.452652726,27.51359256,35.66727042,Morning,Thursday,6.854604444,69.91761524,71.79925293,21.00200184,Level 2,Commuter
User_4,50,Station_327,1/1/2024 3:00,1/1/2024 6:42,79.45782399,1.266430805,32.88286976,13.03623883,Evening,Saturday,83.12000296,99.62432763,199.5777845,38.31631316,Level 1,Long-Distance Traveler
User_5,50,Station_108,1/1/2024 4:00,1/1/2024 5:46,19.62910417,2.019765087,10.21571207,10.16147117,Morning,Saturday,54.25894969,63.74378604,203.6618466,-7.834199027,Level 1,Long-Distance Traveler
User_6,50,Station_335,1/1/2024 5:00,1/1/2024 7:10,43.18113714,1.167640154,14.33452278,36.90034078,Evening,Saturday,75.21774834,71.98228757,143.6800461,-5.274217797,DC Fast Charger,Long-Distance Traveler
User_7,85,Station_162,1/1/2024 6:00,1/1/2024 7:53,36.86213999,3.539619026,26.18518786,22.21422518,Evening,Friday,60.75178076,70.7960969,81.33800891,27.55133468,Level 2,Commuter
User_8,75,Station_302,1/1/2024 7:00,1/1/2024 10:42,51.46761686,2.655396446,26.70290777,9.796821321,Afternoon,Monday,56.20170303,63.78681533,116.5431658,-4.417459666,Level 2,Long-Distance Traveler
User_9,62,Station_493,1/1/2024 8:00,1/1/2024 9:21,43.59237228,1.724203599,14.29492293,32.46500507,Evening,Wednesday,33.46620026,92.9614209,208.2597425,22.51670643,Level 1,Commuter
User_10,50,Station_452,1/1/2024 9:00,1/1/2024 12:44,78.86860745,2.026874691,11.76099972,21.31230245,Morning,Wednesday,27.39945463,70.05338138,54.0063092,27.51201936,DC Fast Charger,Commuter
User_11,50,Station_206,1/1/2024 10:00,1/1/2024 13:59,18.20619748,2.648635448,10.31070111,38.2212307,Night,Thursday,76.08656557,82.26558163,64.63464375,0.500433564,DC Fast Charger,Casual Driver
User_12,85,Station_78,1/1/2024 11:00,1/1/2024 14:55,22.56492948,2.057888622,4.464822629,14.05086135,Evening,Sunday,14.61890237,85.85749415,194.7638067,34.26261127,DC Fast Charger,Long-Distance Traveler
User_13,100,Station_16,1/1/2024 12:00,1/1/2024 13:00,34.25645291,3.065584752,5.523688619,10.972136,Afternoon,Monday,19.20544695,51.62648273,249.1275965,23.66296536,Level 2,Casual Driver
User_14,75,Station_327,1/1/2024 13:00,1/1/2024 15:54,16.56106433,3.590965718,19.76909872,37.4418566,Morning,Friday,25.77541539,69.2012291,159.2316102,34.11034864,Level 2,Commuter
User_15,85,Station_96,1/1/2024 14:00,1/1/2024 17:32,12.92754529,3.421809338,24.21115012,18.55281568,Afternoon,Monday,71.68354384,63.70663794,155.3606054,39.50544569,Level 1,Casual Driver
User_16,100,Station_147,1/1/2024 15:00,1/1/2024 17:19,27.35431788,2.703286128,11.11249884,33.09349271,Evening,Monday,10.67715373,72.40347015,247.6594369,-8.302136899,DC Fast Charger,Long-Distance Traveler
